datetime,dt,p,rh,t,vis,ws_2min,slp,vapor,precipitation,wd_2min,wd_10min,ws_10min,wd_instant,ws_instant,phenomena,station_id,SO2,NO2,CO,PM10,O3,PM2.5,AQI,ec_vis,ec_sh2,ec_t2m,ec_d2m,ec_sp,ec_msl,ec_u10,ec_v10,ec_rh,ec_ws,ec_wd,ec_cbh,ec_sf,ec_blh,ec_fal,ec_lcc,ec_mcc,ec_hcc,ec_tp
2025-05-02 00:00:00,-1.4,857.3,19.0,23.6,10800.0,1.8,1001.9,5.5,0.0,225.0,218.0,1.6,210.0,2.5,0.0,51828,3.3015647003750983,78.70245580665575,1.2364661665449956,199.7492597336812,23.964875271733924,73.02990232932225,125.7847644153251,11733.74,0.0,22.42,-11.46,856.62,1004.93,0.91,1.07,9.41,1.41,220.25,,0.0,35.88,0.21,0.0,0.0,0.0,0.0
2025-05-02 00:00:00,4.8,857.7,40.0,18.7,7000.0,0.0,1002.8,8.6,0.0,106.0,114.0,0.2,90.0,0.2,6.0,51818,5.219258813097996,50.586656068671,0.772460068001172,163.1518995241987,59.460114911092205,60.93124358709416,112.74992297834453,13679.74,0.0,24.64,-6.28,854.63,1004.49,0.01,0.47,12.37,0.47,180.85,,0.0,18.63,0.27,0.0,0.0,0.0,0.0
2025-05-02 00:00:00,5.2,852.4,38.0,19.9,10000.0,0.7,1002.5,8.8,0.0,184.0,174.0,0.7,191.0,0.8,0.0,51931,4.961280155921118,64.48954580197275,0.8749737585758932,159.7460395793693,34.824482552981486,62.05430097279503,115.19324899548657,10459.74,0.0,23.11,-13.41,854.19,1004.34,-1.05,0.68,7.71,1.25,122.96,,0.0,34.5,0.21,0.0,0.0,0.0,0.0
2025-05-02 00:00:00,-0.1,856.5,27.0,19.4,10500.0,1.0,997.2,6.1,0.0,186.0,193.0,0.7,188.0,1.2,0.0,51826,4.961280155921118,67.04823316504115,0.9774658841980572,173.81080314502924,32.806563072694374,66.28818036913628,121.73325260890033,10459.74,0.0,23.59,-12.34,856.72,1004.31,0.91,0.4,8.17,0.99,246.4,,0.0,29.75,0.26,0.0,0.0,0.0,0.0
2025-05-02 00:00:00,0.7,853.7,28.0,19.7,13300.0,0.8,1002.4,6.4,0.0,184.0,226.67,0.2,186.0,0.9,0.0,51839,5.051972936036776,61.09964979846922,0.8710941786193225,150.6709486435124,35.6516660701624,57.47923577979502,108.13137012914277,9255.74,0.0,23.79,-10.37,853.87,1004.38,-1.35,-0.77,9.46,1.56,60.21,,0.0,87.88,0.24,0.0,0.0,0.0,0.0
2025-05-02 00:00:00,-5.5,859.5,15.0,22.4,10500.0,2.0,997.0,4.1,0.0,243.0,243.0,2.1,261.0,2.5,0.0,51829,4.961280155921118,67.04823316504115,0.9774658841980572,188.9348060389549,31.154181935111207,67.50218810687187,124.4451092298858,11133.74,0.0,23.33,-10.68,865.4,1004.09,-0.02,0.28,9.48,0.28,175.04,,0.0,13.63,0.24,0.0,0.0,0.0,0.0
2025-05-02 01:00:00,-2.7,857.3,18.0,22.8,9100.0,1.3,1001.8,5.0,0.0,189.0,195.0,0.9,193.0,1.5,0.0,51828,2.3265051730638375,53.63040984122002,0.5893121522936714,169.07388900946717,41.06651109760212,110.93090164702693,149.7755040532412,11729.35,0.0,21.25,-10.33,856.85,1005.3,1.59,2.31,11.07,2.81,214.45,,0.0,41.31,0.21,0.0,0.0,0.0,0.0
2025-05-02 01:00:00,-8.8,859.4,12.0,21.9,19700.0,1.1,996.5,3.2,0.0,233.0,227.0,1.8,213.0,1.3,0.0,51829,2.3265051730638375,42.72722018799197,0.500002656140522,165.99866584549864,42.94985061090173,78.50344719520672,132.53871915813997,11129.35,0.0,20.98,-9.73,865.67,1004.75,0.21,2.17,11.8,2.18,185.41,,0.0,39.69,0.24,0.0,0.0,0.0,0.0
2025-05-02 01:00:00,-0.1,853.8,29.0,18.2,16500.0,0.8,1002.2,6.1,0.0,253.0,240.0,0.7,248.0,0.9,0.0,51839,3.3033225489638394,42.24053608727166,0.5893121522936714,137.9861135449535,40.42601196023789,65.78938245092549,114.30012921692247,9257.35,0.0,21.13,-10.01,854.09,1005.09,-0.49,1.09,11.44,1.2,155.88,,0.0,34.06,0.24,0.0,0.0,0.0,0.0
2025-05-02 01:00:00,-3.8,852.7,20.0,19.8,12600.0,2.2,1002.2,4.6,0.0,186.0,183.0,1.8,166.0,2.5,0.0,51931,2.3265051730638375,42.21998915511431,0.5274793922952842,144.36895498048088,41.48871638741954,72.03192403973053,122.50527397901205,10459.35,0.0,20.96,-12.67,854.42,1005.06,-0.32,3.05,9.34,3.07,173.92,,0.0,58.94,0.21,0.0,0.0,0.0,0.0
