DATE,dt,p,rh,t,vis,ws_2min,slp,vapor,precipitation,wd_2min,wd_10min,ws_10min,wd_instant,ws_instant,phenomena,station_id,SO2,NO2,CO,PM10,O3,PM2.5,AQI,ec_vis,ec_sh2,ec_t2m,ec_d2m,ec_sp,ec_msl,ec_u10,ec_v10,ec_rh,ec_ws,ec_wd,ec_cbh,ec_sf,ec_blh,ec_fal,ec_lcc,ec_mcc,ec_hcc,ec_tp
2025-05-02 00:00:00,-0.1,856.5,27.0,19.4,10500.0,1.0,997.2,6.1,0.0,186.0,193.0,0.7,188.0,1.2,0.0,51826,4.920583218145071,65.6603627214175,0.9704335065349866,192.63462222838027,30.412948876863155,66.23250635702213,121.76997256795478,10459.735,0.001725779,23.58841,-12.343109,856.7218,1004.31,0.90927124,0.39727783,8.171961784362793,0.9922721,246.39857,,0.0,29.7505,0.26123062,0.0,0.0,0.0,0.0
2025-05-02 00:00:00,0.7,853.7,28.0,19.7,13300.0,0.8,1002.4,6.4,0.0,184.0,226.66666666666663,0.2,186.0,0.9,0.0,51839,4.97560655781246,57.59622614513005,0.866558708971478,165.66147875370677,33.41649917344961,57.58589751017917,108.09793074023948,9255.735,0.002028094,23.785675,-10.370453,853.8718,1004.3762,-1.351471,-0.7736206,9.458415031433104,1.5572292,60.211945,,0.0,87.875496,0.24420181,0.0,0.0,0.0,0.0
2025-05-02 00:00:00,-5.5,859.5,15.0,22.4,10500.0,2.0,997.0,4.1,0.0,243.0,243.0,2.1,261.0,2.5,0.0,51829,4.920583218145071,68.3613313986327,0.9704335065349866,198.10377813302625,30.092848056233443,69.37683191270462,123.95281911762228,11133.735,0.0019517998,23.330597,-10.682953,865.4018,1004.0925,-0.02432251,0.28009033,9.48231601715088,0.2811444,175.037,,0.0,13.625499,0.24447647,0.0,0.0,0.0,0.0
2025-05-02 00:00:00,4.8,857.7,40.0,18.7,7000.0,0.0,1002.8,8.6,0.0,106.0,114.0,0.2,90.0,0.2,6.0,51818,5.871552329757728,48.501112579676686,0.7614803968814298,173.2508730964499,51.038277432530606,60.875569574980005,112.78364600700267,13679.735,0.0027886492,24.637238,-6.276703,854.6318,1004.49,0.0069274902,0.46661377,12.368212699890137,0.4666652,180.85057,,0.0,18.6255,0.2691194,0.0,0.0,0.0,0.0
2025-05-02 00:00:00,-1.4,857.3,19.0,23.6,10800.0,1.8,1001.9,5.5,0.0,225.0,218.0,1.6,210.0,2.5,0.0,51828,3.347536918367686,82.5063273458878,1.322137931175496,200.66475565458703,20.755465811978457,72.79432302585842,125.82148437437957,11733.735,0.0018526177,22.424347,-11.46225,856.6218,1004.9275,0.90927124,1.0740356,9.412456512451172,1.4072407,220.25102,,0.0,35.8755,0.20565811,0.0,0.0,0.0,0.0
2025-05-02 00:00:00,5.2,852.4,38.0,19.9,10000.0,0.7,1002.5,8.8,0.0,184.0,174.0,0.7,191.0,0.8,0.0,51931,4.920583218145071,61.03111361245984,0.8686553716121993,179.64210678947524,32.13488511842308,62.16096270317919,115.19304303458468,10459.735,0.0015874963,23.1138,-13.409515,854.1918,1004.34375,-1.04776,0.6795044,7.713014125823975,1.2488103,122.964645,,0.0,34.5005,0.20674148,0.0,0.0,0.0,0.0
2025-05-02 01:00:00,-2.7,857.3,18.0,22.8,9100.0,1.3,1001.8,5.0,0.0,189.0,195.0,0.9,193.0,1.5,0.0,51828,1.6101713619295803,52.45225498271534,0.5829000197649001,167.16966039322975,39.75215352462107,110.69532234356308,149.81222401229564,11729.349,0.0020266557,21.245789,-10.33255,856.84906,1005.29626,1.5872955,2.3135834,11.06865406036377,2.8057396,214.45311,,0.0,41.312363,0.20565812,0.0,0.0,0.0,0.0
2025-05-02 01:00:00,-8.8,859.4,12.0,21.9,19700.0,1.1,996.5,3.2,0.0,233.0,227.0,1.8,213.0,1.3,0.0,51829,2.95165568291797,42.47990715269869,0.500002656140522,172.75737756043858,43.64337613657438,80.37809100103946,132.04642904587644,11129.349,0.0021039033,20.98407,-9.730988,865.66907,1004.7512,0.2054596,2.1680756,11.797033309936523,2.177789,185.41351,,0.0,39.687363,0.24447648,0.0,0.0,0.0,0.0
2025-05-02 01:00:00,-3.8,852.7,20.0,19.8,12600.0,2.2,1002.2,4.6,0.0,186.0,183.0,1.8,166.0,2.5,0.0,51931,3.3477675476874733,40.68194351230312,0.5149939512547907,158.95645373521216,42.46115421397283,72.13858577011469,122.50506801811017,10459.349,0.0016847635,20.95868,-12.672394,854.41907,1005.0637,-0.32481384,3.0479584,9.33863353729248,3.0652168,173.91708,,0.0,58.937363,0.2067415,0.0,0.0,0.0,0.0
2025-05-02 01:00:00,5.4,858.1,47.0,16.8,8300.0,1.4,1003.4,9.0,0.0,246.0,281.0,1.4,245.0,1.5,6.0,51818,4.009196451136716,30.820475613658523,0.4056782159323767,150.43705174223115,59.50683813376553,64.43619202821469,115.09080902981796,13679.349,0.0022355104,23.86493,-9.119659,854.9991,1005.26624,0.8538971,1.5801849,10.389808654785156,1.7961416,208.38582,,0.0,41.562363,0.2691194,0.0,0.0,0.0,0.0
